authorName,authorID,firstname,surname
J. Forrest Williams,10471,J.,Williams
Robert E. Hall,10472,Robert,Hall
James Andreoni,10943,James,Andreoni
Andy Brownback,10474,Andy,Brownback
Laurence M. Ball,10475,Laurence,Ball
Lucas Davis,10476,Lucas,Davis
Catherine Hausman,10477,Catherine,Hausman
Jaewon Choi,10478,Jaewon,Choi
Matthew P. Richardson,10479,Matthew,Richardson
Robert F. Whitelaw,10480,Robert,Whitelaw
Dani Rodrik,10481,Dani,Rodrik
Pierre-André Chiappori,10482,Pierre-André,Chiappori
Costas Meghir,10487,Costas,Meghir
Daniel Andrei,10484,Daniel,Andrei
Bruce Carlin,10485,Bruce,Carlin
Michael Hasler,10486,Michael,Hasler
Steven Shavell,10488,Steven,Shavell
Tarek A. Hassan,10489,Tarek,Hassan
Thomas M. Mertens,10490,Thomas,Mertens
Cosmin Ilut,10491,Cosmin,Ilut
Melissa S. Kearney,10492,Melissa,Kearney
Phillip B. Levine,10493,Phillip,Levine
Asako S. Moriya,10509,Asako,Moriya
Alberto Galasso,10496,Alberto,Galasso
Matthew Mitchell,10497,Matthew,Mitchell
Gabor Virag,10498,Gabor,Virag
David le Bris,10501,David,Bris
William N. Goetzmann,10502,William,Goetzmann
Sébastien Pouget,10503,Sébastien,Pouget
Enrique G. Mendoza,10504,Enrique,Mendoza
Linda L. Tesar,10505,Linda,Tesar
Jing Zhang,10506,Jing,Zhang
Laura Salisbury,10507,Laura,Salisbury
Yaa Akosa Antwi,10508,Yaa,Antwi
Aileen Heinberg,10582,Aileen,Heinberg
Angela A. Hung,10512,Angela,Hung
Arie Kapteyn,10579,Arie,Kapteyn
Joanne Yoong,10516,Joanne,Yoong
Charles D. Kolstad,10517,Charles,Kolstad
Rafael La Porta,10518,Rafael,Porta
Joseph E. Aldy,10520,Joseph,Aldy
Seamus J. Smyth,10521,Seamus,Smyth
Oliver Hart,10522,Oliver,Hart
Luigi Zingales,10523,Luigi,Zingales
Karen Stockley,10524,Karen,Stockley
Michael E. Chernew,10527,Michael,Chernew
José A. Scheinkman,10529,José,Scheinkman
Frederico Belo,10530,Frederico,Belo
Xiaoji Lin,10531,Xiaoji,Lin
Fan Yang,10532,Fan,Yang
Kalena Cortes,10533,Kalena,Cortes
Joshua Goodman,10534,Joshua,Goodman
Takako Nomi,10535,Takako,Nomi
David Dranove,10536,David,Dranove
Craig Garthwaite,10537,Craig,Garthwaite
Manuel Hermosilla,10538,Manuel,Hermosilla
Oeindrila Dube,10539,Oeindrila,Dube
Matthias Doepke,10541,Matthias,Doepke
Fabrizio Zilibotti,10542,Fabrizio,Zilibotti
Ian W.R. Martin,10543,Ian,Martin
Robert S. Pindyck,10544,Robert,Pindyck
Patrick Francois,10545,Patrick,Francois
